Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,Bottleneck6_1_1,3080,64789,13037.7,167.282,1.28306e+07,1.92671e+10,121831,4,4,4,1,4,137216,6,1,1,18816,55296,8.31282e+11,10838016,3764.68,63.756,473.395,117529,10838016, 18816, 18816, 18816, 576, 10838016, 49152, 49152, 55296, 220.5, 10838016, 10838016, 112896, 282240, 1, 1, 7, 3, 15, 15, 15, 10797, 10797, 10797, 192, 576
MobileNetV2,Bottleneck6_1_2,3080,4766,18179.7,97.8934,5.38476e+06,1.92671e+10,122050,30,30.25,30,1,30,52704,54,1,1,112896,5184,2.56638e+10,466560,3764.68,573.804,181.829,117529,466560, 137088, 137088, 112896, 3.40336, 466560, 9072, 9072, 5184, 51.4286, 466560, 466560, 82944, 63360, 1, 6, 6, 6, 3, 3, 3, 595, 595, 595, 52.3636, 3.16406
MobileNetV2,Bottleneck6_1_3,3080,86310,11677.4,188.356,1.613e+07,1.92671e+10,121674,27,23.0714,27,1,27,91512,6,1,1,28224,331776,1.39218e+12,16257024,3764.68,63.756,315.716,117529,16257024, 28224, 28224, 28224, 576, 16257024, 1946592, 1946592, 331776, 8.35153, 16257024, 16257024, 28224, 211680, 1, 1, 14, 11, 2, 2, 2, 1541, 1541, 1541, 176, 7.37112
MobileNetV2,Bottleneck6_2_1,3080,86310,36789.7,188.356,5.11981e+06,1.92671e+10,121674,27,23.0714,27,1,27,91512,6,1,1,28224,331776,4.41891e+11,16257024,3764.68,63.756,315.716,117529,16257024, 28224, 28224, 28224, 576, 16257024, 1946592, 1946592, 331776, 8.35153, 16257024, 16257024, 28224, 211680, 1, 1, 14, 11, 2, 2, 2, 1541, 1541, 1541, 176, 7.37112
MobileNetV2,Bottleneck6_2_2,3080,7201,26309.5,17.9975,684068,1.92671e+10,121869,21,6.97361,21,1,21,472,54,1,1,28224,5184,4.92597e+09,129600,3764.68,573.804,1.6284,117529,129600, 45036, 45036, 28224, 2.8777, 129600, 5184, 5184, 5184, 25, 129600, 129600, 14400, 14400, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 20, 3
MobileNetV2,Bottleneck6_2_3,3080,86310,11119.5,188.356,1.69393e+07,1.92671e+10,121674,27,23.0714,27,1,27,91512,6,1,1,28224,331776,1.46203e+12,16257024,3764.68,63.756,315.716,117529,16257024, 28224, 28224, 28224, 576, 16257024, 1946592, 1946592, 331776, 8.35153, 16257024, 16257024, 28224, 211680, 1, 1, 14, 11, 2, 2, 2, 1541, 1541, 1541, 176, 7.37112
MobileNetV2,Bottleneck6_2_Residual,3080,2163,26257.3,13.0485,496950,1.92671e+10,121456,13,13.25,13,1,13,28512,6,1,1,28224,576,1.0749e+09,28224,3764.68,63.756,98.3664,117529,28224, 28224, 28224, 28224, 1, 28224, 576, 576, 576, 49, 28224, 28224, 28224, 28224, 1, 3, 3, 3, 3, 3, 3, 540, 540, 540, 13.0909, 0.98
MobileNetV2,Bottleneck6_3_1,3080,86310,10954.5,188.356,1.71944e+07,1.92671e+10,121674,27,23.0714,27,1,27,91512,6,1,1,28224,331776,1.48405e+12,16257024,3764.68,63.756,315.716,117529,16257024, 28224, 28224, 28224, 576, 16257024, 1946592, 1946592, 331776, 8.35153, 16257024, 16257024, 28224, 211680, 1, 1, 14, 11, 2, 2, 2, 1541, 1541, 1541, 176, 7.37112
MobileNetV2,Bottleneck6_3_2,3080,7201,26309.5,17.9975,684068,1.92671e+10,121869,21,6.97361,21,1,21,472,54,1,1,28224,5184,4.92597e+09,129600,3764.68,573.804,1.6284,117529,129600, 45036, 45036, 28224, 2.8777, 129600, 5184, 5184, 5184, 25, 129600, 129600, 14400, 14400, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 20, 3
MobileNetV2,Bottleneck6_3_3,3080,84685,1442.03,53.3251,3.69792e+07,1.92671e+10,121509,1,1.125,1,1,1,43816,6,1,1,28224,92160,3.13158e+12,4515840,3764.68,63.756,151.165,117529,4515840, 28224, 28224, 28224, 160, 4515840, 82080, 82080, 92160, 55.0175, 4515840, 4515840, 7840, 54880, 1, 5, 5, 5, 3, 3, 3, 10585, 10585, 10585, 56, 41.4815
MobileNetV2,Bottleneck7_1_1,3080,64539,10015.1,116.618,1.16442e+07,1.92671e+10,121532,6,5.66667,6,1,6,50536,6,1,1,7840,153600,7.51506e+11,7526400,3764.68,63.756,174.349,117529,7526400, 7840, 7840, 7840, 960, 7526400, 153600, 153600, 153600, 49, 7526400, 7526400, 47040, 376320, 1, 2, 3, 2, 4, 6, 5, 2689, 2689, 2689, 160, 49
MobileNetV2,Bottleneck7_1_2,3080,15534,12274.6,13.905,1.13283e+06,1.92671e+10,122051,3,3.33333,3,1,3,53120,54,1,1,47040,8640,1.75974e+10,216000,3764.68,573.804,183.264,117529,216000, 47040, 47040, 47040, 4.59184, 216000, 8640, 8640, 8640, 25, 216000, 216000, 24000, 24000, 1, 6, 6, 6, 3, 3, 3, 5176, 5176, 5176, 13.913, 3.87931
MobileNetV2,Bottleneck7_1_3,3080,70869,3454.99,212.403,6.14773e+07,1.92672e+10,123214,7,4.5,7,1,7,538040,6,1,1,47040,307200,4.35683e+12,15052800,3764.68,63.756,1856.24,117529,15052800, 47040, 47040, 47040, 320, 15052800, 307200, 307200, 307200, 49, 15052800, 15052800, 15680, 15680, 1, 31, 83, 57, 2, 4, 3, 35393, 35393, 35393, 213.333, 49
MobileNetV2,CONV2D_2,3080,224029,28385.4,89.5884,3.15614e+06,1.92671e+10,122066,2,1.7,2,1,2,205152,6,1,1,15680,409600,7.07067e+11,20070400,3764.68,63.756,707.774,117529,20070400, 15680, 15680, 15680, 1280, 20070400, 409600, 409600, 409600, 49, 20070400, 20070400, 62720, 313600, 1, 9, 19, 14, 7, 14, 10, 22401, 22401, 22401, 112, 49
MobileNetV2,CONV2D_3,3080,980980,547185,63.9361,116845,1.92698e+10,211064,128,117.6,128,1,128,25114888,294,1,1,62720,62720000,1.14623e+11,62720000,3764.68,3124.04,86646.4,117529,62720000, 62720, 62720, 62720, 1000, 62720000, 57702400, 57702400, 62720000, 1.08696, 62720000, 62720000, 1000, 4500, 1, 3604, 4004, 3684, 1, 1, 1, 98072, 98072, 98072, 130, 1.10988
